,Country_name,Country_code,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,Country,gcode,latitude,longitude
0,Aruba,ABW,7893.0,7677.0,7466.0,7262.0,7063.0,9860.0,14444,22274,30104,32540,34327,36114,Aruba,"Aruba, ARUBA, Nederland",12.4902998,-69.9609842
1,Afghanistan,AFG,46468.0,49535.0,53051.0,57043.0,59021.0,56118.0,57686,71522,75917,87300,102246,382365,Afghanistan,افغانستان,33.7680065,66.2385139
2,Angola,AGO,122089.0,77075.0,48657.0,30717.0,89891.0,108854.0,33517,39813,46108,61329,76549,106845,Angola,Angola,-11.8775768,17.5691241
3,Albania,ALB,48901.0,51409.0,54045.0,56816.0,59730.0,62793.0,66013,71354,76695,64739,52784,57616,Albania,Shqipëria,41.000028,19.9999619
4,Andorra,AND,2497.0,6983.0,13446.0,18623.0,25792.0,32306.0,38904,40525,42146,50298,52053,42082,Andorra,Andorra,42.5407167,1.5732033
5,Arab World,ARB,3324685.0,3349209.0,4012340.0,5495961.0,9834213.0,12733497.0,14168146,14871274,16216741,19323851,28555399,34764700,Arab World,"أبو مينا, طريق بنجر السكر, برج العرب, عزبة محمد فريد, الإسكندرية, 23721, Egypt / مصر",30.84165265,29.670019315230654
6,United Arab Emirates,ARE,2194.0,25981.0,65827.0,312400.0,718479.0,1007837.0,1306574,1824118,2446675,3281036,7316611,8095126,United Arab Emirates,الإمارات العربية المتحدة,24.0002488,53.9994829
7,Argentina,ARG,2601188.0,2409183.0,2219411.0,2064199.0,1920798.0,1780443.0,1649919,1595069,1540219,1673088,1805957,2086302,Argentina,Argentina,-34.9964963,-64.9672817
8,Armenia,ARM,,,,,,,658789,693999,657900,469119,221560,191199,Armenia,Հայաստան,40.7696272,44.6736646
9,American Samoa,ASM,2384.0,4170.0,7248.0,10843.0,13594.0,17073.0,21283,23098,24912,24233,23555,23216,American Samoa,American Samoa,-14.289304,-170.692511
